player,team,matches,runs_scored,batting_avg,strike_rate,wickets_taken,bowling_avg,economy_rate,maidens,dot_balls,key_wickets,catches,run_outs,potm_wins,potm_rate,team_wins,win_rate,avg_last_5_runs,avg_last_5_wickets
AC Voges,Australia,151,5381,35.64,70.5,21,37.62,5.34,4,394,5,78,5,7,0.05,77,0.51,31.8,0.0
SW Bates,Southern Vipers,403,11440,28.39,96.07,142,25.25,6.05,16,1500,68,248,18,29,0.07,202,0.5,29.4,1.0
EJ Villani,Australia,215,5508,25.62,107.33,6,41.5,5.98,0,102,0,79,7,15,0.07,126,0.59,33.4,0.0
KH Brunt,Yorkshire Diamonds,236,2318,9.82,80.94,322,19.95,4.25,168,5579,190,64,12,13,0.06,149,0.63,9.6,0.6
NE Bolton,Australia,147,3340,22.72,80.04,54,27.93,6.98,2,473,31,43,3,13,0.09,91,0.62,14.4,0.0
H Graham,Perth Scorchers,153,1872,12.24,107.4,218,16.9,7.0,2,1092,96,54,11,10,0.07,84,0.55,2.8,1.0
LK Ebsary,Adelaide Strikers,34,571,16.79,101.06,2,23.0,2.68,2,78,1,8,0,0,0.0,14,0.41,12.6,0.4
E Biss,Perth Scorchers,4,1,0.25,25.0,2,24.0,6.7,0,16,1,1,0,0,0.0,3,0.75,0.25,0.5
EL King,Perth Scorchers,40,21,0.53,80.77,38,21.29,6.26,3,300,27,4,0,1,0.03,23,0.57,0.0,0.2
RL Grundy,Loughborough Lightning,26,20,0.77,60.61,29,21.38,5.87,1,286,12,3,0,0,0.0,16,0.62,0.6,1.6
HK Matthews,Barbados,344,8960,26.05,98.15,450,17.87,5.71,40,3988,239,105,33,48,0.14,153,0.44,39.4,1.8
G Redmayne,Brisbane Heat,135,3154,23.36,102.47,0,0.0,0.0,0,0,0,74,18,11,0.08,64,0.47,27.6,0.0
HC Knight,Western Storm,395,10791,27.32,91.2,153,25.69,5.64,22,1807,73,121,21,30,0.08,236,0.6,28.2,1.2
AE Satterthwaite,Lancashire Thunder,223,6638,29.77,92.21,124,21.31,5.88,7,1106,46,100,12,13,0.06,100,0.45,30.8,0.2
EA Burns,Hobart Hurricanes,163,2782,17.07,112.95,126,19.94,6.15,7,1045,50,66,3,9,0.06,84,0.52,24.8,0.8
CL Hall,Hobart Hurricanes,60,765,12.75,100.0,0,0.0,0.0,0,0,0,13,0,1,0.02,11,0.18,8.8,0.0
SK Moloney,Hobart Hurricanes,78,502,6.44,96.91,47,21.89,7.12,0,285,25,26,3,1,0.01,20,0.26,4.4,0.2
E Thompson,Hobart Hurricanes,13,105,8.08,92.92,2,13.0,6.5,0,8,2,1,0,0,0.0,1,0.08,8.2,0.4
V Pyke,Hobart Hurricanes,34,249,7.32,104.62,17,42.47,7.14,1,254,13,5,0,0,0.0,8,0.24,4.4,1.0
B Hepburn,Hobart Hurricanes,45,82,1.82,73.21,36,27.75,7.12,2,298,23,9,0,1,0.02,11,0.24,0.0,0.2
K Fryett,Hobart Hurricanes,12,9,0.75,112.5,6,41.0,7.61,0,56,3,2,0,0,0.0,3,0.25,0.0,0.8
AJ Healy,Australia,344,9249,26.89,110.12,0,0.0,0.0,0,0,0,187,36,38,0.11,240,0.7,9.8,0.0
EA Perry,Loughborough Lightning,395,11790,29.85,92.05,317,23.79,5.0,109,5108,200,147,23,53,0.13,268,0.68,25.2,1.0
D van Niekerk,Loughborough Lightning,241,4636,19.24,89.02,241,19.61,4.94,46,2765,140,77,19,14,0.06,126,0.52,22.4,1.0
A Gardner,Sydney Sixers,317,5932,18.71,111.42,371,20.03,5.34,75,4272,168,113,16,31,0.1,213,0.67,3.2,0.2
SJ McGlashan,Southern Vipers,84,1352,16.1,95.89,0,0.0,0.0,0,0,0,22,10,1,0.01,45,0.54,29.0,0.0
M Kapp,Surrey Stars,391,6533,16.71,95.74,462,19.43,4.88,108,6108,323,72,22,27,0.07,208,0.53,2.6,1.0
