venue,team,matches,wins,losses,win_rate,lose_rate
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Uganda,2,0,2,0.0,1.0
Botswana Cricket Association Oval 2,Swaziland,2,0,2,0.0,1.0
Botswana Cricket Association Oval 1,Swaziland,2,0,2,0.0,1.0
Botswana Cricket Association Oval 1,St Helena,2,1,1,0.5,0.5
Friendship Oval,Philippines,6,5,1,0.83,0.17
Friendship Oval,Japan,6,3,3,0.5,0.5
Friendship Oval,Indonesia,5,1,4,0.2,0.8
Friendship Oval,South Korea,5,2,3,0.4,0.6
"Kent County Cricket Ground, Beckenham",Surrey,4,0,2,0.0,0.5
"Edgbaston, Birmingham",Surrey,8,2,4,0.25,0.5
"Woodbridge Road, Guildford",Surrey,14,4,9,0.29,0.64
"Woodbridge Road, Guildford",Yorkshire,1,0,0,0.0,0.0
"County Ground, Chelmsford",Hampshire,12,3,9,0.25,0.75
"The Rose Bowl, Southampton",Kent,9,4,3,0.44,0.33
"Trent Bridge, Nottingham",Surrey,4,2,1,0.5,0.25
"St Lawrence Ground, Canterbury",Essex,12,7,2,0.58,0.17
"County Ground, Chelmsford",Surrey,13,6,3,0.46,0.23
"Edgbaston, Birmingham",Yorkshire,12,4,5,0.33,0.42
"County Ground, Northampton",Leicestershire,13,3,5,0.23,0.38
"County Ground, Hove",Northamptonshire,4,2,1,0.5,0.25
